iter	RMSE
0	15.17562813
1	15.07685933
2	14.9794186
3	14.8832925
4	14.78866261
5	14.69532005
6	14.60275638
7	14.51145664
8	14.42160137
9	14.33298332
10	14.24510048
11	14.15843226
12	14.073158
13	13.98873423
14	13.90567959
15	13.82345364
16	13.74238197
17	13.66249815
18	13.58355499
19	13.50577676
20	13.42891709
21	13.35319974
22	13.27837919
23	13.20463197
24	13.1319463
25	13.06031045
26	12.98971277
27	12.91963785
28	12.85094736
29	12.78326178
30	12.71593803
31	12.6500963
32	12.58460182
33	12.5200751
34	12.45685697
35	12.39458042
36	12.33323451
37	12.27280835
38	12.21242505
39	12.15294937
40	12.09437061
41	12.03714429
42	11.98230884
43	11.92671538
44	11.87197245
45	11.81749444
46	11.76342625
47	11.71096623
48	11.65842158
49	11.60639848
50	11.55524981
51	11.50565929
52	11.45583101
53	11.40669993
54	11.35921142
55	11.31128988
56	11.2652073
57	11.21880901
58	11.17277177
59	11.12866747
60	11.08622883
61	11.04217901
62	10.99883248
63	10.95727832
64	10.9147645
65	10.87399479
66	10.83279429
67	10.79227267
68	10.75243677
69	10.71277081
70	10.6739879
71	10.63583764
72	10.59784053
73	10.56036406
74	10.52467026
75	10.49075381
76	10.45478932
77	10.41944851
78	10.38456864
79	10.3499596
80	10.31606995
81	10.2830833
82	10.2499545
83	10.21737909
84	10.1859652
85	10.15643751
86	10.12523488
87	10.09441586
88	10.06502076
89	10.0350794
90	10.00564545
91	9.976555248
92	9.947956375
93	9.921028264
94	9.892967104
95	9.865567502
96	9.83928709
97	9.812265921
98	9.785709435
99	9.759835971
100	9.733997788
101	9.708922215
102	9.685008279
103	9.65998935
104	9.635190954
105	9.611713619
106	9.588334957
107	9.565248007
108	9.542999387
109	9.520762668
110	9.497962378
111	9.475567838
112	9.453490004
113	9.432869529
114	9.411803422
115	9.391109464
116	9.370786312
117	9.35082371
118	9.330200709
119	9.311032419
120	9.291912506
121	9.273338045
122	9.253450301
123	9.233619312
124	9.215910289
125	9.197441327
126	9.1797019
127	9.160946948
128	9.143417227
129	9.126315969
130	9.109151686
131	9.090548623
132	9.07280237
133	9.05535937
134	9.037353102
135	9.019668984
136	9.002215409
137	8.986760783
138	8.970575912
139	8.954216973
140	8.939562368
141	8.923043942
142	8.906986599
143	8.892706558
144	8.876961478
145	8.862559424
146	8.847075225
147	8.832247264
148	8.818367428
149	8.803838371
150	8.789439503
151	8.77615246
152	8.762560076
153	8.748559478
154	8.735268038
155	8.722369609
156	8.708425442
157	8.694225026
158	8.681709059
159	8.668311373
160	8.65603104
161	8.643093837
162	8.630062137
163	8.617737082
164	8.604566744
165	8.591277374
166	8.577919408
167	8.566915358
168	8.555070612
169	8.542766033
170	8.530492331
171	8.519204314
172	8.507704114
173	8.49493392
174	8.483094258
175	8.469361374
176	8.458448066
177	8.447505204
178	8.436296667
179	8.424290491
180	8.413406928
181	8.402976857
182	8.392170489
183	8.380307831
184	8.369996021
185	8.357433235
186	8.345101695
187	8.334447181
188	8.324580756
189	8.315035182
190	8.305631164
191	8.296721509
192	8.286995484
193	8.277814644
194	8.268369086
195	8.259365678
196	8.251212813
197	8.242156606
198	8.232991245
199	8.224508331
200	8.214640738
201	8.205580105
202	8.195697858
203	8.187068196
204	8.178136326
205	8.167044412
206	8.158145078
207	8.149918433
208	8.139151466
209	8.130819974
210	8.120541316
211	8.11193136
212	8.10388993
213	8.097189889
214	8.08713332
215	8.078146682
216	8.070494625
217	8.060855953
218	8.053635089
219	8.045783991
220	8.038195265
221	8.030893129
222	8.024431053
223	8.016510865
224	8.007880345
225	8.001327141
226	7.991503622
227	7.984061207
228	7.977170507
229	7.968619853
230	7.962083988
231	7.955343813
232	7.948957058
233	7.942097689
234	7.935332819
235	7.928476255
236	7.921975657
237	7.91519223
238	7.909089469
239	7.90334658
240	7.895546979
241	7.888335452
242	7.879991832
243	7.87421024
244	7.868238065
245	7.862261907
246	7.85663248
247	7.85101185
248	7.845040991
249	7.83707934
250	7.829106286
251	7.822600036
252	7.816789609
253	7.810943248
254	7.803063871
255	7.79796408
256	7.792637506
257	7.787568831
258	7.782558022
259	7.77498611
260	7.768736945
261	7.762810723
262	7.757675641
263	7.752790866
264	7.746929507
265	7.742188456
266	7.736799221
267	7.730665635
268	7.724832904
269	7.719255948
270	7.71434136
271	7.707406296
272	7.700854744
273	7.694529464
274	7.689633137
275	7.684580784
276	7.678684674
277	7.671794138
278	7.666214645
279	7.66088535
280	7.655937013
281	7.651720282
282	7.646946449
283	7.642086624
284	7.63746453
285	7.633125287
286	7.628078321
287	7.622854474
288	7.617745405
289	7.612641777
290	7.607736111
291	7.602536714
292	7.59787564
293	7.591623766
294	7.586312778
295	7.58022764
296	7.57475154
297	7.570241807
298	7.565094423
299	7.560550946
300	7.556014717
301	7.551422465
302	7.547494835
303	7.542351586
304	7.537592457
305	7.533645531
306	7.529366596
307	7.525455698
308	7.521590627
309	7.517939817
310	7.512287224
311	7.508319461
312	7.502845866
313	7.498526149
314	7.492967564
315	7.488840393
316	7.48518127
317	7.480743546
318	7.476191574
319	7.472536578
320	7.468253378
321	7.46474492
322	7.461054087
323	7.456446407
324	7.45188218
325	7.44568774
326	7.442117636
327	7.438198135
328	7.435158701
329	7.431369851
330	7.426652623
331	7.421507053
332	7.418282053
333	7.414598937
334	7.410959951
335	7.408126777
336	7.404267709
337	7.401237054
338	7.39787582
339	7.39315031
340	7.388533895
341	7.384799115
342	7.379774421
343	7.376575672
344	7.373833968
